"latitude","longitude","time_range","flag","gear","id","apparent_fishing_hours"
36.97,11.58,2024-06-30,"ITA","trawlers",1,1
36.95,11.59,2024-06-25,"ITA","trawlers",1,0.99
36.95,11.59,2024-06-28,"ITA","trawlers",1,1
36.95,11.6,2024-06-28,"ITA","trawlers",1,3
36.94,11.6,2024-06-27,"ITA","trawlers",1,3.96
36.94,11.6,2024-06-30,"ITA","trawlers",1,1.79
36.95,11.59,2024-06-30,"ITA","trawlers",1,0.99
36.9,11.61,2024-06-27,"ITA","trawlers",1,1
36.9,11.62,2024-06-27,"ITA","trawlers",1,4.98
36.94,11.6,2024-06-17,"ITA","trawlers",1,1.43
36.88,11.62,2024-06-16,"ITA","trawlers",1,0.99
36.93,11.61,2024-06-27,"ITA","trawlers",1,2.06
36.9,11.62,2024-06-30,"ITA","trawlers",1,1.02
36.9,11.62,2024-06-28,"ITA","trawlers",1,1.87
36.91,11.62,2024-06-27,"ITA","trawlers",1,0.37
36.91,11.62,2024-06-17,"ITA","trawlers",1,1.42
36.91,11.61,2024-06-30,"ITA","trawlers",1,1.02
36.91,11.63,2024-06-29,"ITA","trawlers",1,0.3
36.91,11.61,2024-06-25,"ITA","trawlers",1,1.02
36.91,11.6,2024-06-28,"ITA","trawlers",1,1
36.89,11.62,2024-06-16,"ITA","trawlers",1,0.49
36.93,11.61,2024-06-28,"ITA","trawlers",1,0.85
36.9,11.62,2024-06-25,"ITA","trawlers",1,1
36.9,11.68,2024-06-26,"ITA","trawlers",1,0.16
36.87,11.62,2024-06-28,"ITA","trawlers",1,1.01
36.86,11.62,2024-06-28,"ITA","trawlers",1,0.53
36.86,11.64,2024-06-26,"ITA","trawlers",1,0.46
36.86,11.63,2024-06-27,"ITA","trawlers",1,2
36.85,11.64,2024-06-27,"ITA","trawlers",1,1.07
35.18,13.46,2024-06-16,"ITA","trawlers",1,2.03
35.18,13.47,2024-06-16,"ITA","trawlers",1,1.97
35.19,13.49,2024-06-16,"ITA","trawlers",1,1.01
35.19,13.5,2024-06-16,"ITA","trawlers",1,0.47
35.21,13.57,2024-06-16,"ITA","trawlers",1,0.52
35.23,13.61,2024-06-17,"ITA","trawlers",1,9.74
35.21,13.58,2024-06-16,"ITA","trawlers",1,1.29
38.06,10.81,2024-06-28,"TUN","trawlers",1,2.08
37.55,9.89,2024-06-27,"TUN","trawlers",1,13.58
37.57,9.96,2024-06-27,"TUN","trawlers",1,0.71
37.56,9.94,2024-06-27,"TUN","trawlers",1,1.17
37.61,10.09,2024-06-27,"TUN","trawlers",1,3.14
37.62,10.12,2024-06-27,"TUN","trawlers",1,1.02
37.66,10.22,2024-06-27,"TUN","trawlers",1,0.77
35.57,11.94,2024-06-16,"TUN","fishing",1,1.01
35.56,11.95,2024-06-16,"TUN","fishing",1,3
35.54,11.97,2024-06-16,"TUN","fishing",1,0.99
35.55,11.96,2024-06-16,"TUN","fishing",1,1
35.53,11.99,2024-06-16,"TUN","fishing",1,1
35.51,12.01,2024-06-16,"TUN","fishing",1,0.99
35.49,12.03,2024-06-16,"TUN","fishing",1,0.99
35.46,12.06,2024-06-16,"TUN","fishing",1,0.97
35.45,12.08,2024-06-16,"TUN","fishing",1,1.99
35.42,12.12,2024-06-17,"TUN","fishing",1,1.41
35.43,12.11,2024-06-17,"TUN","fishing",1,0.78
35.43,12.1,2024-06-17,"TUN","fishing",1,0.99
35.39,12.15,2024-06-17,"TUN","fishing",1,0.99
35.36,12.2,2024-06-17,"TUN","fishing",1,1
35.36,12.21,2024-06-17,"TUN","fishing",1,2.01
35.39,12.16,2024-06-17,"TUN","fishing",1,1.02
35.38,12.17,2024-06-17,"TUN","fishing",1,0.99
35.37,12.19,2024-06-17,"TUN","fishing",1,1.01
35.34,12.28,2024-06-17,"TUN","fishing",1,1
35.35,12.25,2024-06-17,"TUN","fishing",1,2.01
35.35,12.26,2024-06-17,"TUN","fishing",1,0.98
35.34,12.29,2024-06-17,"TUN","fishing",1,1
35.33,12.36,2024-06-18,"TUN","fishing",1,0.98
35.32,12.39,2024-06-18,"TUN","fishing",1,2
35.34,12.32,2024-06-18,"TUN","fishing",1,0.96
35.32,12.38,2024-06-18,"TUN","fishing",1,0.99
34.96,12.63,2024-06-24,"TUN","fishing",1,2.2
34.99,12.65,2024-06-23,"TUN","fishing",1,0.93
34.96,12.6,2024-06-23,"TUN","fishing",1,1.38
34.97,12.64,2024-06-23,"TUN","fishing",1,0.93
34.96,12.6,2024-06-24,"TUN","fishing",2,3.63
35.02,12.66,2024-06-23,"TUN","fishing",1,1.1
35,12.65,2024-06-23,"TUN","fishing",1,0.98
34.93,12.59,2024-06-23,"TUN","fishing",1,1.29
34.92,12.63,2024-06-24,"TUN","fishing",1,1.03
34.95,12.64,2024-06-24,"TUN","fishing",1,0.95
34.93,12.61,2024-06-23,"TUN","fishing",1,0.94
34.94,12.62,2024-06-23,"TUN","fishing",1,1
34.93,12.64,2024-06-24,"TUN","fishing",1,0.96
34.91,12.6,2024-06-24,"TUN","fishing",1,0.96
34.92,12.62,2024-06-24,"TUN","fishing",1,1.02
34.93,12.58,2024-06-23,"TUN","fishing",1,1.66
34.76,12.46,2024-06-25,"TUN","fishing",1,1.25
34.74,12.46,2024-06-25,"TUN","fishing",1,0.59
34.79,12.47,2024-06-25,"TUN","fishing",1,1.03
34.8,12.48,2024-06-25,"TUN","fishing",1,1.02
34.78,12.47,2024-06-25,"TUN","fishing",1,1
34.75,12.46,2024-06-25,"TUN","fishing",1,0.96
34.69,12.37,2024-06-26,"TUN","fishing",1,5.41
34.69,12.39,2024-06-26,"TUN","fishing",1,1.1
34.73,12.46,2024-06-27,"TUN","fishing",1,1.99
34.71,12.42,2024-06-26,"TUN","fishing",1,0.97
34.7,12.41,2024-06-26,"TUN","fishing",1,2.98
34.72,12.44,2024-06-27,"TUN","fishing",1,1.92
34.74,12.45,2024-06-25,"TUN","fishing",1,0.87
34.71,12.43,2024-06-26,"TUN","fishing",1,0.94
34.84,12.52,2024-06-25,"TUN","fishing",1,2.1
